2025-12-03T08:38:55.224Z [sh]: Setting WiFi Regulatory domain to GB.
2025-12-03T08:38:55.277Z [sh]: /opt/secure/wifi/wpa_supplicant.conf file exists and configurations are present
2025-12-03T08:38:55.303Z [sh]: Country code is present , No need to change
2025-12-03T08:38:55.357Z [sh]: wowlan_triggers already present in /opt/secure/wifi/wpa_supplicant.conf, leaving as is
2025-12-03T08:38:55.244Z sh[3152]:  active
2025-12-03T08:38:55.742Z sh[3245]:  1764751135.723731: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=77
2025-12-03T08:38:55.742Z sh[3245]:  1764751135.723738: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=103
2025-12-03T08:38:55.743Z sh[3245]:  1764751135.723744: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=104
2025-12-03T08:38:55.743Z sh[3245]:  1764751135.723751: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=119
2025-12-03T08:38:55.743Z sh[3245]:  1764751135.723758: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=78
2025-12-03T08:38:55.743Z sh[3245]:  1764751135.723764: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=79
2025-12-03T08:38:55.743Z sh[3245]:  1764751135.723771: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=80
2025-12-03T08:38:55.743Z sh[3245]:  1764751135.723777: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=82
2025-12-03T08:38:55.743Z sh[3245]:  1764751135.723784: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=76
2025-12-03T08:38:55.743Z sh[3245]:  1764751135.723790: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=106
2025-12-03T08:38:55.743Z sh[3245]:  1764751135.723798: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=145
2025-12-03T08:38:55.743Z sh[3245]:  1764751135.723805: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=101
2025-12-03T08:38:55.743Z sh[3245]:  1764751135.723811: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=108
2025-12-03T08:38:55.743Z sh[3245]:  1764751135.723818: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=102
2025-12-03T08:38:55.743Z sh[3245]:  1764751135.723824: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=109
2025-12-03T08:38:55.743Z sh[3245]:  1764751135.723831: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=115
2025-12-03T08:38:55.743Z sh[3245]:  1764751135.723838: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=83
2025-12-03T08:38:55.744Z sh[3245]:  1764751135.723844: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=116
2025-12-03T08:38:55.744Z sh[3245]:  1764751135.723851: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=117
2025-12-03T08:38:55.744Z sh[3245]:  1764751135.723858: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=10
2025-12-03T08:38:55.744Z sh[3245]:  1764751135.723864: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=118
2025-12-03T08:38:55.744Z sh[3245]:  1764751135.723871: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=122
2025-12-03T08:38:55.744Z sh[3245]:  1764751135.723877: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=123
2025-12-03T08:38:55.744Z sh[3245]:  1764751135.723884: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=124
2025-12-03T08:38:55.744Z sh[3245]:  1764751135.723890: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=85
2025-12-03T08:38:55.744Z sh[3245]:  1764751135.723897: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=84
2025-12-03T08:38:55.744Z sh[3245]:  1764751135.723903: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=147
2025-12-03T08:38:55.744Z sh[3245]:  1764751135.723910: nl80211: Supported vendor command: vendor_id=0x1374 subcmd=105
