Jan 15 02:46:34 dnsmasq[4549]: started, version 2.90 cachesize 400
Jan 15 02:46:34 dnsmasq[4549]: compile time options: IPv6 GNU-getopt DBus no-UBus no-i18n no-IDN DHCP DHCPv6 no-Lua TFTP no-conntrack ipset no-nftset auth no-cryptohash no-DNSSEC loop-detect inotify dumpfile
Jan 16 02:35:12 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:12 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:12 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:12 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:12 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:13 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:14 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:14 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:14 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:14 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:14 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:14 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:15 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:15 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:16 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:16 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:16 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:18 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:18 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:21 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:21 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:22 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:22 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:22 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:22 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:23 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:23 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:23 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:23 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:23 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:23 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:23 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:23 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:24 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:24 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:24 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:24 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:25 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:25 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:25 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:25 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:25 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:25 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:25 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:25 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:25 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:25 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:26 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:26 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:26 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:26 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:26 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:26 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:26 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:26 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:27 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:27 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:27 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:27 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:27 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:27 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:27 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:27 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:31 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:31 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:31 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:31 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:31 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:31 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:31 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:31 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:31 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:31 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:31 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:31 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:31 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:31 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:32 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:32 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:32 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:32 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:32 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:32 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:33 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:33 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:33 dnsmasq[4549]: Poll listen presence mq
Jan 16 02:35:33 dnsmasq[4549]: Poll listen presence mq
