2025-12-03T08:38:56.950Z bluetoothd[3410]:  ../bluez-5.48/src/adapter.c:clear_devices() sending clear devices command for index 0
2025-12-03T08:38:56.950Z bluetoothd[3410]:  ../bluez-5.48/src/adapter.c:set_mode() sending set mode command for index 0
2025-12-03T08:38:56.950Z bluetoothd[3410]:  ../bluez-5.48/src/adapter.c:set_mode() sending set mode command for index 0
2025-12-03T08:38:56.950Z bluetoothd[3410]:  ../bluez-5.48/src/adapter.c:set_mode() sending set mode command for index 0
2025-12-03T08:38:56.951Z bluetoothd[3410]:  ../bluez-5.48/src/adapter.c:set_privacy() sending set privacy command for index 0
2025-12-03T08:38:56.951Z bluetoothd[3410]:  ../bluez-5.48/src/adapter.c:set_privacy() setting privacy mode 0x00 for index 0
2025-12-03T08:38:56.951Z bluetoothd[3410]:  ../bluez-5.48/src/gatt-database.c:btd_gatt_database_new() GATT Manager registered for adapter: /org/bluez/hci0
2025-12-03T08:38:56.951Z bluetoothd[3410]:  ../bluez-5.48/src/advertising.c:btd_adv_manager_new() LE Advertising Manager created for adapter: /org/bluez/hci0
2025-12-03T08:38:56.972Z bluetoothd[3410]:  ../bluez-5.48/profiles/audio/a2dp.c:media_server_probe() path /org/bluez/hci0
2025-12-03T08:38:56.972Z bluetoothd[3410]:  ../bluez-5.48/plugins/hostname.c:hostname_probe()
2025-12-03T08:38:56.972Z bluetoothd[3410]:  ../bluez-5.48/profiles/network/manager.c:panu_server_probe() path /org/bluez/hci0
2025-12-03T08:38:56.973Z bluetoothd[3410]:  ../bluez-5.48/profiles/network/server.c:server_register() Registered interface org.bluez.NetworkServer1 on path /org/bluez/hci0
2025-12-03T08:38:56.973Z bluetoothd[3410]:  ../bluez-5.48/profiles/network/manager.c:gn_server_probe() path /org/bluez/hci0
2025-12-03T08:38:56.973Z bluetoothd[3410]:  ../bluez-5.48/profiles/network/manager.c:nap_server_probe() path /org/bluez/hci0
2025-12-03T08:38:56.973Z bluetoothd[3410]:  ../bluez-5.48/profiles/audio/avrcp.c:avrcp_controller_server_probe() path /org/bluez/hci0
2025-12-03T08:38:56.973Z bluetoothd[3410]:  ../bluez-5.48/src/adapter.c:adapter_service_add() /org/bluez/hci0
2025-12-03T08:38:56.973Z bluetoothd[3410]:  ../bluez-5.48/src/sdpd-service.c:add_record_to_server() Adding record with handle 0x10001
2025-12-03T08:38:56.973Z bluetoothd[3410]:  ../bluez-5.48/src/sdpd-service.c:add_record_to_server() Record pattern UUID 00000017-0000-1000-8000-00805f9
2025-12-03T08:38:56.973Z bluetoothd[3410]:  ../bluez-5.48/src/sdpd-service.c:add_record_to_server() Record pattern UUID 00000100-0000-1000-8000-00805f9
2025-12-03T08:38:56.973Z bluetoothd[3410]:  ../bluez-5.48/src/sdpd-service.c:add_record_to_server() Record pattern UUID 00001002-0000-1000-8000-00805f9
2025-12-03T08:38:56.973Z bluetoothd[3410]:  ../bluez-5.48/src/sdpd-service.c:add_record_to_server() Record pattern UUID 0000110e-0000-1000-8000-00805f9
2025-12-03T08:38:56.974Z bluetoothd[3410]:  ../bluez-5.48/src/sdpd-service.c:add_record_to_server() Record pattern UUID 0000110f-0000-1000-8000-00805f9
2025-12-03T08:38:56.974Z bluetoothd[3410]:  ../bluez-5.48/src/adapter.c:adapter_service_insert() /org/bluez/hci0
2025-12-03T08:38:56.974Z bluetoothd[3410]:  ../bluez-5.48/src/adapter.c:add_uuid() sending add uuid command for index 0
2025-12-03T08:38:56.974Z bluetoothd[3410]:  ../bluez-5.48/profiles/audio/avrcp.c:avrcp_target_server_probe() path /org/bluez/hci0
2025-12-03T08:38:56.974Z bluetoothd[3410]:  ../bluez-5.48/src/adapter.c:adapter_service_add() /org/bluez/hci0
2025-12-03T08:38:56.974Z bluetoothd[3410]:  ../bluez-5.48/src/sdpd-service.c:add_record_to_server() Adding record with handle 0x10002
2025-12-03T08:38:56.974Z bluetoothd[3410]:  ../bluez-5.48/src/sdpd-service.c:add_record_to_server() Record pattern UUID 00000017-0000-1000-8000-00805f9
2025-12-03T08:38:56.974Z bluetoothd[3410]:  ../bluez-5.48/src/sdpd-service.c:add_record_to_server() Record pattern UUID 00000100-0000-1000-8000-00805f9
2025-12-03T08:38:56.974Z bluetoothd[3410]:  ../bluez-5.48/src/sdpd-service.c:add_record_to_server() Record pattern UUID 00001002-0000-1000-8000-00805f9
