2025-12-03T08:38:56.144Z bluetoothd[3416]:  ../bluez-5.48/src/plugin.c:add_plugin() Loading avrcp plugin
2025-12-03T08:38:56.144Z bluetoothd[3416]:  ../bluez-5.48/src/plugin.c:add_plugin() Loading network plugin
2025-12-03T08:38:56.144Z bluetoothd[3416]:  ../bluez-5.48/src/plugin.c:add_plugin() Loading input plugin
2025-12-03T08:38:56.144Z bluetoothd[3416]:  ../bluez-5.48/src/plugin.c:add_plugin() Loading hog plugin
2025-12-03T08:38:56.144Z bluetoothd[3416]:  ../bluez-5.48/src/plugin.c:add_plugin() Loading gap plugin
2025-12-03T08:38:56.144Z bluetoothd[3416]:  ../bluez-5.48/src/plugin.c:add_plugin() Loading scanparam plugin
2025-12-03T08:38:56.144Z bluetoothd[3416]:  ../bluez-5.48/src/plugin.c:add_plugin() Loading deviceinfo plugin
2025-12-03T08:38:56.145Z bluetoothd[3416]:  ../bluez-5.48/src/plugin.c:add_plugin() Loading battery plugin
2025-12-03T08:38:56.145Z bluetoothd[3416]:  ../bluez-5.48/src/plugin.c:plugin_init() Loading plugins /usr/lib/bluetooth/plugins
2025-12-03T08:38:56.145Z bluetoothd[3416]:  ../bluez-5.48/profiles/input/suspend-none.c:suspend_init()
2025-12-03T08:38:56.145Z bluetoothd[3416]:  ../bluez-5.48/profiles/network/manager.c:read_config() /etc/bluetooth/network.conf: Key file does not have key “DisableSecurity” in group “General”
2025-12-03T08:38:56.145Z bluetoothd[3416]:  ../bluez-5.48/profiles/network/manager.c:read_config() Config options: Security=true
2025-12-03T08:38:56.146Z bluetoothd[3416]:  ../bluez-5.48/src/main.c:main() Entering main loop
2025-12-03T08:38:56.146Z bluetoothd[3416]:  ../bluez-5.48/src/rfkill.c:rfkill_event() RFKILL event idx 0 type 1 op 0 soft 0 hard 0
2025-12-03T08:38:56.154Z bluetoothd[3416]:  Bluetooth management interface 1.14 initialized
2025-12-03T08:38:56.154Z bluetoothd[3416]:  ../bluez-5.48/src/adapter.c:read_version_complete() sending read supported commands command
2025-12-03T08:38:56.154Z bluetoothd[3416]:  ../bluez-5.48/src/adapter.c:read_version_complete() sending read index list command
2025-12-03T08:38:56.154Z bluetoothd[3416]:  ../bluez-5.48/src/rfkill.c:rfkill_event() RFKILL event idx 1 type 2 op 0 soft 0 hard 0
2025-12-03T08:38:56.154Z bluetoothd[3416]:  ../bluez-5.48/src/adapter.c:read_commands_complete() Number of commands: 65
2025-12-03T08:38:56.154Z bluetoothd[3416]:  ../bluez-5.48/src/adapter.c:read_commands_complete() Number of events: 35
2025-12-03T08:38:56.154Z bluetoothd[3416]:  ../bluez-5.48/src/adapter.c:read_commands_complete() enabling kernel-side connection control
2025-12-03T08:38:56.154Z bluetoothd[3416]:  ../bluez-5.48/src/adapter.c:read_index_list_complete() Number of controllers: 0
2025-12-03T08:38:56.908Z bluetoothd[3416]:  ../bluez-5.48/src/adapter.c:index_added() index 0
2025-12-03T08:38:56.908Z bluetoothd[3416]:  ../bluez-5.48/src/adapter.c:btd_adapter_new() System name: Sky
2025-12-03T08:38:56.908Z bluetoothd[3416]:  ../bluez-5.48/src/adapter.c:btd_adapter_new() Major class: 4
2025-12-03T08:38:56.908Z bluetoothd[3416]:  ../bluez-5.48/src/adapter.c:btd_adapter_new() Minor class: 5
2025-12-03T08:38:56.909Z bluetoothd[3416]:  ../bluez-5.48/src/adapter.c:btd_adapter_new() Modalias: usb:v1D6Bp0246d0530
2025-12-03T08:38:56.909Z bluetoothd[3416]:  ../bluez-5.48/src/adapter.c:btd_adapter_new() Discoverable timeout: 180 seconds
